red,green,blue
703.64,699.53,699.03
700.24,687.11,667.75
678.53,680.44,675.54
664.10,648.03,640.33
646.11,643.48,648.23
659.90,655.86,636.18
676.68,437.35,277.46
645.63,387.82,396.39
663.53,433.09,391.60
678.55,306.38,259.29
590.25,302.79,271.91
556.55,341.78,366.52
601.54,347.26,335.39
639.94,459.00,386.69
753.43,537.75,504.20
732.54,525.63,473.73
727.31,416.59,455.18
677.68,473.26,446.62
684.06,479.44,458.63
700.28,769.21,555.98
812.51,765.81,705.44
756.51,526.18,784.68
783.01,666.12,464.39
683.41,421.14,540.93
667.53,532.66,482.63
710.08,503.26,495.74
826.45,869.87,897.80
917.01,895.29,885.41
812.04,863.83,859.03
862.75,856.07,850.51
703.46,680.93,623.23
684.53,570.95,496.51
682.32,626.02,599.35
683.42,576.14,586.64
701.14,594.36,578.51
688.22,592.67,570.67
704.12,601.11,557.49
822.93,708.48,598.46
806.07,693.95,720.76
839.43,778.86,812.09
789.68,643.90,617.65
702.56,601.53,531.23
624.21,439.46,403.21
503.73,414.04,430.32
548.06,497.67,566.73
618.02,448.05,427.94
498.55,471.85,481.48
699.41,582.90,536.12
652.66,743.01,734.19
744.83,706.01,690.91
684.23,668.87,687.49
706.85,705.24,672.91
518.19,316.09,332.44
618.58,663.78,639.24
690.69,522.79,474.43
681.18,687.89,738.29
810.79,701.29,668.85
700.47,637.79,686.92
627.56,632.25,724.45
644.81,423.86,437.70
866.31,845.91,812.51
794.64,873.97,858.83
899.72,831.37,871.57
897.34,880.16,880.82
897.10,817.25,860.00
721.98,751.46,772.14
790.07,788.81,772.55
668.11,516.65,508.32
482.21,519.66,493.65
650.68,494.97,487.53
528.14,486.49,471.35
518.51,478.83,491.68
550.52,513.66,504.71
714.09,528.58,505.45
597.49,517.43,532.16
655.65,533.99,531.36
428.98,317.84,451.92
669.29,676.92,680.14
686.97,682.54,683.17
688.58,684.26,684.32
688.36,683.68,680.11
