red,green,blue,ambient,label
764.20,737.70,739.60,731.00,ripe
763.80,742.60,742.90,732.80,ripe
762.00,739.10,739.80,731.20,ripe
759.20,738.60,738.40,730.20,ripe
758.30,739.00,739.50,731.60,ripe
757.10,739.40,738.90,729.70,ripe
756.50,736.30,737.80,731.80,ripe
758.90,742.70,743.20,735.80,ripe
762.00,742.40,740.50,730.40,ripe
758.10,738.90,739.60,730.70,ripe
758.30,738.80,738.50,731.10,ripe
757.80,737.80,736.90,728.50,ripe
755.60,736.90,737.50,728.30,ripe
755.40,735.90,735.30,727.30,ripe
754.50,734.40,734.90,727.10,ripe
753.80,734.30,734.70,725.70,ripe
752.70,733.20,733.50,725.00,ripe
751.70,732.30,733.10,728.10,ripe
753.50,734.60,734.20,724.40,ripe
750.90,733.10,732.40,724.40,ripe
749.80,733.10,732.80,724.50,ripe
749.20,731.70,731.90,724.00,ripe
748.80,731.10,730.30,722.50,ripe
748.10,730.60,730.30,722.50,ripe
747.10,730.10,731.10,722.60,ripe
747.10,729.80,730.30,722.20,ripe
747.10,730.60,730.40,722.90,ripe
747.40,731.10,731.00,722.70,ripe
745.90,729.00,729.50,722.20,ripe
745.30,729.70,728.50,721.00,ripe
744.10,728.60,728.40,721.80,ripe
744.30,728.10,728.20,720.60,ripe
743.60,727.60,727.90,720.70,ripe
742.90,728.80,728.80,721.20,ripe
743.70,728.70,728.70,721.00,ripe
743.60,727.50,727.60,720.00,ripe
743.10,728.80,728.10,720.30,ripe
742.70,727.20,727.60,720.50,ripe
743.20,727.50,727.20,721.30,ripe
742.90,728.50,728.30,721.00,ripe
744.00,731.50,731.00,723.40,ripe
743.70,729.10,729.20,722.00,ripe
743.80,729.20,728.70,721.30,ripe
743.40,728.30,727.80,720.50,ripe
742.80,729.00,728.60,720.50,ripe
742.70,728.30,728.30,721.00,ripe
742.80,728.60,728.50,721.30,ripe
742.70,728.10,727.50,720.00,ripe
742.30,727.70,727.90,720.60,ripe
741.70,727.50,727.50,720.10,ripe
742.30,728.10,727.90,720.60,ripe
742.60,728.00,726.40,718.80,ripe
742.20,727.70,727.50,720.20,ripe
741.70,727.80,727.30,720.30,ripe
741.70,727.50,726.80,720.20,ripe
741.10,727.40,727.40,720.20,ripe
741.20,726.90,727.60,720.80,ripe
742.20,728.20,728.90,722.20,ripe
742.80,728.40,728.60,721.70,ripe
742.90,728.60,728.70,720.00,ripe
739.10,724.70,723.50,716.60,ripe
735.00,720.90,721.70,714.90,ripe
734.40,721.70,721.00,714.70,ripe
734.50,722.20,722.10,715.50,ripe
735.70,722.70,723.20,716.70,ripe
736.10,723.40,724.90,718.10,ripe
738.80,726.20,726.40,719.30,ripe
738.80,725.40,725.30,717.50,ripe
736.50,723.60,723.50,716.70,ripe
736.50,723.40,723.00,716.50,ripe
736.40,722.10,722.00,714.60,ripe
734.40,720.70,719.60,712.90,ripe
734.10,720.60,721.40,714.50,ripe
734.80,721.20,720.80,714.20,ripe
735.40,721.60,721.90,714.90,ripe
736.10,722.30,721.40,714.70,ripe
734.60,720.40,721.10,714.50,ripe
735.30,721.60,721.00,714.70,ripe
735.10,722.50,723.30,713.90,ripe
734.40,720.30,718.50,710.00,ripe
730.60,716.40,716.00,710.00,ripe
733.10,722.50,720.60,712.20,ripe
731.40,718.20,716.30,708.10,ripe
727.00,713.10,711.30,703.80,ripe
723.80,711.10,710.50,703.20,ripe
723.20,710.80,709.80,704.00,ripe
724.10,711.40,710.20,703.20,ripe
723.30,711.00,710.30,703.70,ripe
723.30,711.20,710.30,703.50,ripe
722.70,710.80,710.10,703.90,ripe
723.20,710.50,709.90,703.40,ripe
723.70,711.20,710.30,703.20,ripe
722.50,710.60,709.90,703.10,ripe
722.40,710.00,708.70,697.90,ripe
713.90,703.20,715.40,721.80,ripe
740.20,729.80,730.40,724.70,ripe
741.50,731.20,731.40,725.20,ripe
742.50,731.40,732.00,725.70,ripe
743.60,731.80,732.00,725.60,ripe
743.90,732.10,731.80,725.30,ripe
744.30,731.60,732.20,725.50,ripe
744.10,731.70,732.10,725.60,ripe
744.60,731.60,731.40,724.80,ripe
744.70,731.10,731.40,724.10,ripe
743.90,731.00,731.20,724.40,ripe
743.50,730.30,730.80,724.60,ripe
743.80,730.50,730.80,723.70,ripe
743.50,730.60,730.80,723.90,ripe
743.00,730.20,730.30,724.00,ripe
742.80,730.30,730.30,723.50,ripe
742.80,730.50,730.20,724.10,ripe
741.70,730.90,731.80,725.40,ripe
742.20,731.30,731.70,725.40,ripe
743.20,731.10,731.00,725.20,ripe
742.90,731.80,731.10,724.60,ripe
742.80,731.30,731.70,725.20,ripe
743.20,731.00,731.40,725.10,ripe
743.10,731.10,730.70,724.20,ripe
743.00,731.10,731.30,724.70,ripe
742.80,731.20,731.40,724.90,ripe
742.90,731.20,731.30,724.80,ripe
741.30,728.50,728.80,722.30,ripe
741.90,728.60,729.00,722.30,ripe
742.50,728.60,728.50,721.70,ripe
741.90,728.80,728.80,722.60,ripe
741.80,728.60,729.20,722.40,ripe
742.20,729.30,729.00,721.70,ripe
741.80,729.30,728.50,721.80,ripe
741.50,728.70,728.90,721.60,ripe
741.50,728.40,728.30,721.80,ripe
741.80,728.60,728.50,722.10,ripe
741.70,729.20,729.30,722.40,ripe
741.80,729.30,729.50,722.40,ripe
733.50,710.80,703.10,720.30,ripe
740.80,727.70,728.10,721.70,ripe
741.50,728.20,728.40,722.00,ripe
741.70,728.70,728.80,721.80,ripe
741.40,728.70,728.60,722.00,ripe
742.10,728.50,729.30,722.30,ripe
741.60,728.10,728.00,720.00,ripe
738.70,722.90,723.70,718.60,ripe
740.40,726.30,726.70,720.60,ripe
742.70,728.90,729.40,723.40,ripe
743.60,730.10,730.60,723.30,ripe
743.50,730.30,730.10,723.40,ripe
743.40,730.20,730.10,723.60,ripe
743.30,730.20,730.30,724.10,ripe
743.50,730.00,730.10,723.00,ripe
742.90,729.70,729.50,722.70,ripe
743.60,729.90,729.50,723.20,ripe
743.10,729.90,730.20,723.30,ripe
