red,green,blue,ambient,width,label
779.20,651.80,624.00,566.50,28,unripe
785.10,661.50,632.70,567.30,28,unripe
784.40,661.50,633.70,571.20,28,unripe
786.00,661.20,630.80,566.90,28,unripe
784.30,659.80,630.90,567.20,28,unripe
783.80,659.00,631.20,568.80,28,unripe
784.80,659.00,629.00,567.40,28,unripe
784.00,659.70,631.10,567.70,28,unripe
784.30,655.00,622.70,561.40,28,unripe
783.00,658.20,630.10,566.70,28,unripe
783.40,658.90,631.20,568.40,28,unripe
784.60,659.40,630.30,567.50,28,unripe
785.00,661.90,634.20,570.50,28,unripe
784.40,658.00,628.00,562.00,28,unripe
780.40,650.70,620.10,555.80,28,unripe
776.40,647.90,622.20,558.20,28,unripe
779.60,653.50,623.80,560.40,28,unripe
781.40,656.00,627.40,564.20,28,unripe
782.60,657.40,628.70,565.80,28,unripe
783.40,657.20,627.30,563.00,28,unripe
782.20,655.70,626.30,561.10,28,unripe
778.20,651.60,627.00,564.10,28,unripe
779.00,647.30,615.90,550.90,28,unripe
776.80,650.10,622.60,560.00,28,unripe
782.20,658.30,630.20,568.40,28,unripe
784.70,660.40,632.20,569.70,28,unripe
785.40,661.70,633.40,571.10,28,unripe
785.80,660.50,629.10,560.60,28,unripe
781.30,656.50,628.30,564.80,28,unripe
782.60,656.10,625.90,561.50,28,unripe
780.80,653.60,623.50,560.40,28,unripe
781.20,654.30,624.30,561.70,28,unripe
782.50,657.40,628.20,548.80,28,unripe
675.40,343.70,252.40,135.20,28,unripe
560.00,312.90,239.30,115.30,28,unripe
544.30,303.60,229.90,114.30,28,unripe
572.20,490.50,504.40,502.90,28,unripe
752.10,630.00,604.70,536.70,28,unripe
762.40,630.50,601.10,541.60,28,unripe
774.80,650.00,626.50,572.90,28,unripe
790.60,674.20,644.70,583.00,28,unripe
793.60,677.10,642.10,573.00,28,unripe
767.90,629.70,597.60,547.60,28,unripe
778.50,650.50,619.10,557.70,28,unripe
778.90,647.70,612.50,544.30,28,unripe
770.30,639.20,611.00,549.00,28,unripe
775.40,650.10,613.70,541.80,28,unripe
771.30,659.70,646.90,595.60,28,unripe
800.30,685.40,664.50,609.00,28,unripe
803.10,672.30,642.40,568.90,28,unripe
749.10,536.60,477.20,430.60,28,unripe
698.60,558.80,615.80,553.20,28,unripe
775.90,650.10,621.10,556.50,28,unripe
776.20,646.30,617.00,551.30,28,unripe
775.50,648.00,617.50,552.60,28,unripe
779.70,659.50,631.80,567.80,28,unripe
781.60,656.40,626.70,556.10,28,unripe
780.10,658.90,625.20,562.80,28,unripe
780.20,650.40,621.20,556.40,28,unripe
779.40,657.60,623.30,555.40,28,unripe
773.40,640.70,591.90,481.90,28,unripe
732.70,587.70,594.40,555.30,28,unripe
779.00,656.10,631.80,571.10,28,unripe
786.10,663.60,635.30,570.80,28,unripe
728.90,535.00,492.20,406.70,28,unripe
704.60,546.10,529.60,458.60,28,unripe
745.80,651.60,629.90,567.70,28,unripe
768.00,623.30,606.00,537.10,28,unripe
736.90,571.60,485.30,420.70,28,unripe
610.20,321.50,483.30,494.90,28,unripe
757.80,370.10,196.40,50.50,28,unripe
506.10,245.80,407.30,528.40,28,unripe
779.40,675.10,656.00,597.40,28,unripe
796.30,679.50,656.00,600.80,28,unripe
799.00,681.70,653.60,592.70,28,unripe
793.70,657.10,567.60,562.70,28,unripe
786.90,614.90,635.30,584.20,28,unripe
786.00,669.80,608.50,511.90,28,unripe
708.00,444.00,247.80,86.30,28,unripe
498.80,217.40,131.00,11.20,28,unripe
457.50,210.60,129.10,11.00,28,unripe
449.50,208.70,129.20,11.00,28,unripe
445.70,208.00,129.00,11.30,28,unripe
443.60,207.60,128.90,10.80,28,unripe
442.20,207.40,128.40,10.70,28,unripe
441.40,207.30,128.50,10.70,28,unripe
440.70,207.40,128.70,10.90,28,unripe
440.50,207.30,128.30,10.50,28,unripe
440.20,207.10,128.60,10.80,28,unripe
439.90,207.20,128.70,10.90,28,unripe
439.40,207.50,129.00,10.90,28,unripe
439.70,207.50,128.90,11.00,28,unripe
439.70,207.50,128.80,10.60,28,unripe
445.50,341.40,485.70,546.80,28,unripe
772.30,627.90,664.10,606.80,28,unripe
802.30,698.80,674.50,618.20,28,unripe
806.50,708.90,681.90,614.30,28,unripe
807.70,690.80,654.20,579.00,28,unripe
782.40,653.70,621.00,552.10,28,unripe
742.30,629.60,599.80,523.90,28,unripe
760.90,630.50,610.00,541.20,28,unripe
768.40,638.40,609.80,546.00,28,unripe
775.00,643.60,620.90,558.50,28,unripe
781.90,660.40,632.60,570.30,28,unripe
785.40,661.00,632.20,566.80,28,unripe
783.60,660.30,634.30,571.80,28,unripe
786.10,662.10,633.50,570.90,28,unripe
785.30,659.30,630.90,564.60,28,unripe
785.10,662.30,634.50,572.50,28,unripe
787.00,654.70,619.30,552.50,28,unripe
740.10,551.40,448.90,431.00,28,unripe
759.00,541.40,448.60,363.20,28,unripe
725.50,599.40,584.80,521.40,28,unripe
741.90,487.90,422.90,248.40,28,unripe
657.10,522.20,504.50,420.30,28,unripe
692.50,469.10,388.70,232.90,28,unripe
628.70,544.00,570.90,523.30,28,unripe
801.70,690.70,664.90,606.30,28,unripe
804.60,692.60,665.60,606.60,28,unripe
804.80,692.20,665.30,606.40,28,unripe
805.00,691.60,664.60,605.50,28,unripe
804.70,691.70,664.70,605.50,28,unripe
804.60,691.60,665.50,607.80,28,unripe
805.10,691.80,664.70,605.30,28,unripe
804.80,691.70,665.00,605.80,28,unripe
805.00,691.80,664.80,605.80,28,unripe
804.90,691.80,664.90,605.50,28,unripe
804.70,691.60,664.90,605.90,28,unripe
804.80,691.60,664.40,605.00,28,unripe
804.80,691.70,664.20,597.90,28,unripe
786.80,677.50,668.70,630.40,28,unripe
816.60,710.60,690.80,636.50,28,unripe
821.10,713.10,686.40,626.30,28,unripe
815.30,709.40,685.70,626.30,28,unripe
812.00,700.80,672.20,611.10,28,unripe
809.10,699.10,674.20,617.30,28,unripe
810.50,700.30,674.10,621.50,28,unripe
797.20,682.40,656.60,589.00,28,unripe
810.50,700.80,675.40,618.80,28,unripe
811.60,702.90,681.00,385.50,28,unripe
736.40,636.70,582.60,606.00,28,unripe
814.50,710.90,686.80,631.70,28,unripe
